,image_1_1,image_2_1,image_2_2,image_2_3,image_2_4,image_3_1,image_3_2,image_3_3,image_3_4,image_3_5,image_4_1,image_5_1,image_6_1,image_6_2,image_7_1,image_8_1,image_8_2,image_8_3,image_8_4,image_8_5,image_9_1,image_9_2,image_10_1
image_1_1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
image_2_1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
image_2_2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
image_2_3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
image_2_4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
image_3_1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
image_3_2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3_3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
image_3_4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
image_3_5,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0
image_4_1,0,0,0,0,0,1,0,0,0,0,4,1,0,1,1,0,0,0,0,0,1,1,0
image_5_1,2,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0
image_6_1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
image_6_2,1,0,0,0,0,1,0,0,0,1,1,1,0,4,1,0,1,0,0,0,1,2,1
image_7_1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,4,0,0,0,0,0,1,0,0
image_8_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
image_8_2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,2,0
image_8_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
image_8_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_8_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_9_1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,0,0,4,0,0
image_9_2,0,1,1,1,1,1,0,0,0,1,1,0,0,2,0,1,2,1,0,0,0,4,0
image_10_1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
